week_start,keyword,impressions,clicks,ctr,avg_position
2024-01-15,payroll management services,94,20,0.2193,4.8
2024-01-22,payroll management services,87,14,0.1666,5.5
2024-01-29,payroll management services,67,12,0.1798,5.5
2024-02-05,payroll management services,74,16,0.2167,4.7
2024-02-12,payroll management services,85,17,0.2111,5.4
2024-02-19,payroll management services,74,12,0.1701,4.0
2024-02-26,payroll management services,94,16,0.1736,5.4
2024-03-04,payroll management services,73,14,0.1952,4.2
2024-03-11,payroll management services,71,13,0.1913,5.7
2024-03-18,payroll management services,79,18,0.2403,4.6
2024-03-25,payroll management services,64,13,0.2043,5.3
2024-04-01,payroll management services,64,13,0.2101,5.0
2024-04-08,payroll management services,90,16,0.183,5.0
2024-04-15,payroll management services,83,16,0.1991,5.0
2024-04-22,payroll management services,64,15,0.2384,4.7
2024-04-29,payroll management services,84,17,0.2026,4.9
2024-05-06,payroll management services,67,12,0.1808,5.0
2024-05-13,payroll management services,82,16,0.2046,4.6
2024-05-20,payroll management services,89,20,0.2336,4.5
2024-05-27,payroll management services,81,17,0.2163,5.8
2024-06-03,payroll management services,74,17,0.2381,5.1
2024-06-10,payroll management services,63,15,0.2387,4.5
2024-06-17,payroll management services,66,11,0.171,4.3
2024-06-24,payroll management services,69,14,0.211,4.2
2024-01-01,digital marketing agency Nagpur,48,5,0.1146,8.4
2024-01-08,digital marketing agency Nagpur,64,8,0.1332,8.6
2024-01-15,digital marketing agency Nagpur,54,5,0.1037,8.5
2024-01-22,digital marketing agency Nagpur,70,8,0.1232,7.8
2024-01-29,digital marketing agency Nagpur,47,4,0.1057,8.5
2024-02-05,digital marketing agency Nagpur,48,6,0.1454,7.2
2024-02-12,digital marketing agency Nagpur,55,7,0.1438,8.5
2024-02-19,digital marketing agency Nagpur,61,7,0.1297,8.5
2024-02-26,digital marketing agency Nagpur,62,8,0.1298,8.2
2024-03-04,digital marketing agency Nagpur,64,8,0.1371,8.1
2024-03-11,digital marketing agency Nagpur,67,7,0.1094,8.1
2024-03-18,digital marketing agency Nagpur,59,8,0.1397,7.7
2024-03-25,digital marketing agency Nagpur,57,7,0.127,7.8
2024-04-01,digital marketing agency Nagpur,61,8,0.1397,8.1
2024-04-08,digital marketing agency Nagpur,50,6,0.1281,7.5
2024-04-15,digital marketing agency Nagpur,50,7,0.1472,8.3
2024-04-22,digital marketing agency Nagpur,56,6,0.11,8.4
2024-04-29,digital marketing agency Nagpur,61,7,0.1305,7.6
2024-05-06,digital marketing agency Nagpur,49,7,0.1429,7.3
2024-05-13,digital marketing agency Nagpur,58,6,0.118,7.6
2024-05-20,digital marketing agency Nagpur,67,9,0.1447,8.5
2024-05-27,digital marketing agency Nagpur,65,9,0.1447,7.9
2024-06-03,digital marketing agency Nagpur,52,6,0.1273,8.5
2024-06-10,digital marketing agency Nagpur,47,5,0.1267,7.8
2024-06-17,digital marketing agency Nagpur,55,6,0.1147,8.6
2024-06-24,digital marketing agency Nagpur,61,8,0.1409,8.3
2024-01-01,ecommerce website development,45,4,0.1043,9.4
2024-01-08,ecommerce website development,47,5,0.1103,9.3
2024-01-15,ecommerce website development,49,5,0.1094,8.6
2024-01-22,ecommerce website development,37,3,0.1034,9.7
2024-01-29,ecommerce website development,45,4,0.0991,9.8
2024-02-05,ecommerce website development,41,4,0.1172,10.1
2024-02-12,ecommerce website development,47,5,0.1122,9.3
2024-02-19,ecommerce website development,48,4,0.1011,9.4
2024-02-26,ecommerce website development,52,6,0.1199,8.6
2024-03-04,ecommerce website development,39,3,0.0996,9.7
2024-03-11,ecommerce website development,44,4,0.0977,8.8
2024-03-18,ecommerce website development,53,4,0.0897,9.4
2024-03-25,ecommerce website development,52,6,0.124,10.3
2024-04-01,ecommerce website development,43,4,0.1119,9.5
2024-04-08,ecommerce website development,42,4,0.0979,9.4
2024-04-15,ecommerce website development,46,4,0.0973,10.8
2024-04-22,ecommerce website development,42,3,0.0887,8.8
2024-04-29,ecommerce website development,51,5,0.1057,9.8
2024-05-06,ecommerce website development,41,4,0.1071,9.9
2024-05-13,ecommerce website development,38,4,0.1275,8.4
2024-05-20,ecommerce website development,43,4,0.0999,8.9
2024-05-27,ecommerce website development,50,5,0.1044,10.1
2024-06-03,ecommerce website development,48,4,0.0897,9.6
2024-06-10,ecommerce website development,39,3,0.0913,9.7
2024-06-17,ecommerce website development,41,5,0.1266,9.3
2024-06-24,ecommerce website development,36,3,0.102,8.6
2024-01-01,IT recruitment agency,111,20,0.183,5.6
2024-01-08,IT recruitment agency,76,12,0.1684,6.2
2024-01-15,IT recruitment agency,96,20,0.2146,5.3
2024-01-22,IT recruitment agency,83,13,0.1601,5.8
2024-01-29,IT recruitment agency,109,22,0.2075,5.2
2024-02-05,IT recruitment agency,94,16,0.1792,6.2
2024-02-12,IT recruitment agency,84,15,0.1822,5.7
2024-02-19,IT recruitment agency,91,16,0.1831,5.7
2024-02-26,IT recruitment agency,89,17,0.1993,5.8
2024-03-04,IT recruitment agency,102,16,0.1603,5.9
2024-03-11,IT recruitment agency,87,15,0.1796,6.1
2024-03-18,IT recruitment agency,87,13,0.1555,5.1
2024-03-25,IT recruitment agency,90,19,0.2167,5.8
2024-04-01,IT recruitment agency,91,13,0.1506,4.8
2024-04-08,IT recruitment agency,93,18,0.1965,6.0
2024-04-15,IT recruitment agency,86,13,0.1517,5.5
2024-04-22,IT recruitment agency,110,19,0.173,6.2
2024-04-29,IT recruitment agency,87,17,0.1975,5.7
2024-05-06,IT recruitment agency,80,13,0.1666,5.7
2024-05-13,IT recruitment agency,83,16,0.1976,5.3
2024-05-20,IT recruitment agency,110,20,0.1838,4.5
2024-05-27,IT recruitment agency,87,15,0.18,6.6
2024-06-03,IT recruitment agency,97,21,0.2172,5.5
2024-06-10,IT recruitment agency,99,20,0.2106,6.0
2024-06-17,IT recruitment agency,89,19,0.2154,6.4
2024-06-24,IT recruitment agency,101,21,0.2146,4.8
2024-01-01,graphic design services Nagpur,69,10,0.1505,7.1
2024-01-08,graphic design services Nagpur,64,10,0.1589,6.3
2024-01-15,graphic design services Nagpur,58,8,0.1481,6.0
2024-01-22,graphic design services Nagpur,55,9,0.1768,7.6
2024-01-29,graphic design services Nagpur,63,10,0.1632,5.8
2024-02-05,graphic design services Nagpur,60,8,0.1438,6.2
2024-02-12,graphic design services Nagpur,64,9,0.1518,6.1
2024-02-19,graphic design services Nagpur,62,8,0.1295,6.7
2024-02-26,graphic design services Nagpur,53,9,0.1751,7.5
2024-03-04,graphic design services Nagpur,60,10,0.1737,7.2
2024-03-11,graphic design services Nagpur,66,10,0.1653,6.9
2024-03-18,graphic design services Nagpur,71,12,0.1704,6.6
2024-03-25,graphic design services Nagpur,54,7,0.1356,6.2
2024-04-01,graphic design services Nagpur,71,8,0.1213,6.2
2024-04-08,graphic design services Nagpur,52,7,0.1358,6.4
2024-04-15,graphic design services Nagpur,70,10,0.153,6.4
2024-04-22,graphic design services Nagpur,50,7,0.145,6.2
2024-04-29,graphic design services Nagpur,67,10,0.1613,6.6
2024-05-06,graphic design services Nagpur,68,11,0.1629,6.9
2024-05-13,graphic design services Nagpur,52,8,0.1635,6.9
2024-05-20,graphic design services Nagpur,74,11,0.1599,7.0
2024-05-27,graphic design services Nagpur,61,9,0.1552,6.8
2024-06-03,graphic design services Nagpur,62,10,0.1751,6.7
2024-06-10,graphic design services Nagpur,67,11,0.1667,6.3
2024-06-17,graphic design services Nagpur,65,11,0.1737,6.5
2024-06-24,graphic design services Nagpur,58,8,0.1515,6.7
2024-01-01,on-site manpower support,186,41,0.2239,3.9
2024-01-08,on-site manpower support,166,39,0.2386,3.4
2024-01-15,on-site manpower support,190,58,0.3081,4.3
2024-01-22,on-site manpower support,156,44,0.2881,3.7
2024-01-29,on-site manpower support,162,36,0.2234,3.8
2024-02-05,on-site manpower support,179,44,0.2492,4.2
2024-02-12,on-site manpower support,132,29,0.2211,4.8
2024-02-19,on-site manpower support,153,43,0.2837,3.8
2024-02-26,on-site manpower support,177,50,0.2846,4.2
2024-03-04,on-site manpower support,163,42,0.2579,3.8
2024-03-11,on-site manpower support,144,34,0.2429,3.9
2024-03-18,on-site manpower support,147,35,0.2425,3.6
2024-03-25,on-site manpower support,181,44,0.245,3.5
2024-04-01,on-site manpower support,182,40,0.2242,3.5
2024-04-08,on-site manpower support,160,42,0.2639,4.3
2024-04-15,on-site manpower support,184,39,0.2152,4.5
2024-04-22,on-site manpower support,150,36,0.24,3.6
2024-04-29,on-site manpower support,151,40,0.2655,3.4
2024-05-06,on-site manpower support,174,43,0.2506,3.3
2024-05-13,on-site manpower support,150,40,0.2675,4.4
2024-05-20,on-site manpower support,132,28,0.2189,4.1
2024-05-27,on-site manpower support,178,39,0.2198,3.7
2024-06-03,on-site manpower support,186,53,0.2876,4.4
2024-06-10,on-site manpower support,157,36,0.2338,4.0
2024-06-17,on-site manpower support,164,44,0.2683,5.0
2024-06-24,on-site manpower support,193,58,0.3055,4.5
2024-01-01,permanent staffing solutions,155,41,0.2676,4.3
2024-01-08,permanent staffing solutions,138,35,0.2588,4.2
2024-01-15,permanent staffing solutions,139,34,0.2498,4.2
2024-01-22,permanent staffing solutions,151,29,0.1968,4.1
2024-01-29,permanent staffing solutions,130,26,0.2059,5.1
2024-02-05,permanent staffing solutions,131,30,0.2323,3.9
2024-02-12,permanent staffing solutions,116,29,0.255,5.1
2024-02-19,permanent staffing solutions,151,30,0.2009,3.8
2024-02-26,permanent staffing solutions,160,38,0.2378,3.8
2024-03-04,permanent staffing solutions,163,40,0.2505,4.3
2024-03-11,permanent staffing solutions,122,25,0.2125,4.7
2024-03-18,permanent staffing solutions,153,33,0.2219,4.9
2024-03-25,permanent staffing solutions,151,32,0.217,4.7
2024-04-01,permanent staffing solutions,165,34,0.2101,3.8
2024-04-08,permanent staffing solutions,136,33,0.2431,5.0
2024-04-15,permanent staffing solutions,153,28,0.1871,4.5
2024-04-22,permanent staffing solutions,166,41,0.2502,4.6
2024-04-29,permanent staffing solutions,158,30,0.192,4.9
2024-05-06,permanent staffing solutions,130,33,0.2615,4.7
2024-05-13,permanent staffing solutions,120,31,0.2595,4.6
2024-05-20,permanent staffing solutions,149,34,0.2291,4.3
2024-05-27,permanent staffing solutions,121,25,0.2077,5.0
2024-06-03,permanent staffing solutions,139,31,0.2301,4.7
2024-06-10,permanent staffing solutions,143,36,0.2528,4.7
2024-06-17,permanent staffing solutions,121,22,0.1864,4.8
2024-06-24,permanent staffing solutions,133,34,0.2615,3.9
2024-01-01,product management consulting,31,2,0.0822,10.3
2024-01-08,product management consulting,39,4,0.1027,11.8
2024-01-15,product management consulting,45,3,0.0809,12.3
2024-01-22,product management consulting,46,4,0.1071,10.3
2024-01-29,product management consulting,34,3,0.0974,11.2
2024-02-05,product management consulting,38,2,0.0722,11.1
2024-02-12,product management consulting,41,3,0.0819,10.3
2024-02-19,product management consulting,33,2,0.086,11.5
2024-02-26,product management consulting,34,3,0.0905,11.2
2024-03-04,product management consulting,33,3,0.0954,10.5
2024-03-11,product management consulting,42,3,0.0754,10.8
2024-03-18,product management consulting,40,3,0.0809,11.2
2024-03-25,product management consulting,39,3,0.0899,11.2
2024-04-01,product management consulting,40,3,0.0858,11.6
2024-04-08,product management consulting,46,4,0.0992,11.6
2024-04-15,product management consulting,37,3,0.101,11.0
2024-04-22,product management consulting,44,3,0.0782,10.7
2024-04-29,product management consulting,35,2,0.082,11.7
2024-05-06,product management consulting,42,3,0.0796,10.9
2024-05-13,product management consulting,38,2,0.073,10.5
2024-05-20,product management consulting,46,4,0.097,10.6
2024-05-27,product management consulting,38,3,0.0938,10.6
2024-06-03,product management consulting,33,2,0.0782,11.0
2024-06-10,product management consulting,37,3,0.1025,11.5
2024-06-17,product management consulting,41,3,0.0836,11.2
2024-06-24,product management consulting,43,4,0.1055,12.1
